Price,Close,High,Low,Open,Volume
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
Datetime,,,,,
2025-04-09 07:45:00+00:00,50247.19921875,50306.6015625,50180.25,50283.8515625,0
2025-04-09 08:45:00+00:00,50248.8515625,50305.69921875,50200.3984375,50249.80078125,0
2025-04-09 09:45:00+00:00,50283.75,50293.3984375,50231.3515625,50247.75,0
2025-04-11 03:45:00+00:00,50927.80078125,51064.3984375,50686.55078125,50686.55078125,0
2025-04-11 04:45:00+00:00,50964.55078125,50983.75,50756.55078125,50927.5,0
2025-04-11 05:45:00+00:00,51203.6484375,51205.3515625,50953.19921875,50965.05078125,0
2025-04-11 06:45:00+00:00,51196.05078125,51242.8515625,51152.94921875,51205.3515625,0
2025-04-11 07:45:00+00:00,51011.44921875,51210.69921875,50980.25,51194.3515625,0
2025-04-11 08:45:00+00:00,51005.80078125,51056.75,50900.1015625,51014.8984375,0
2025-04-11 09:45:00+00:00,51007.55078125,51037.19921875,50938.19921875,51004.0,0
2025-04-15 03:45:00+00:00,52255.19921875,52265.3515625,51869.19921875,52244.69921875,0
2025-04-15 04:45:00+00:00,52258.05078125,52276.0,52159.25,52253.94921875,0
2025-04-15 05:45:00+00:00,52327.6015625,52399.6015625,52255.05078125,52260.3515625,0
2025-04-15 06:45:00+00:00,52311.1484375,52363.0,52276.6015625,52333.3984375,0
2025-04-15 07:45:00+00:00,52371.3515625,52374.69921875,52298.55078125,52312.3515625,0
2025-04-15 08:45:00+00:00,52358.75,52398.6015625,52316.3515625,52371.55078125,0
2025-04-15 09:45:00+00:00,52415.1484375,52464.3984375,52355.55078125,52360.5,0
2025-04-16 03:45:00+00:00,52786.19921875,52819.8984375,52472.44921875,52659.6484375,0
2025-04-16 04:45:00+00:00,52744.30078125,52805.1484375,52612.05078125,52787.69921875,0
2025-04-16 05:45:00+00:00,52771.55078125,52813.8984375,52720.5,52747.0,0
2025-04-16 06:45:00+00:00,52874.19921875,52876.30078125,52745.94921875,52771.5,0
2025-04-16 07:45:00+00:00,53116.5,53123.44921875,52728.1484375,52874.8515625,0
2025-04-16 08:45:00+00:00,53087.6015625,53152.80078125,53037.8984375,53121.80078125,0
2025-04-16 09:45:00+00:00,53109.25,53163.1015625,53079.6015625,53086.1484375,0
2025-04-17 03:45:00+00:00,53380.8515625,53524.80078125,53104.8515625,53153.75,0
2025-04-17 04:45:00+00:00,53459.69921875,53486.0,53346.80078125,53386.25,0
2025-04-17 05:45:00+00:00,53797.44921875,53813.05078125,53447.75,53460.8515625,0
2025-04-17 06:45:00+00:00,54305.55078125,54308.8515625,53762.5,53799.25,0
2025-04-17 07:45:00+00:00,54280.19921875,54404.5,54225.3984375,54304.5,0
2025-04-17 08:45:00+00:00,54259.19921875,54400.44921875,54182.05078125,54282.0,0
2025-04-17 09:45:00+00:00,54252.05078125,54332.25,54214.6015625,54260.1015625,0
2025-04-21 03:45:00+00:00,55167.1484375,55290.3515625,54720.3515625,54851.1015625,0
2025-04-21 04:45:00+00:00,55366.1015625,55383.55078125,55094.55078125,55162.8515625,0
2025-04-21 05:45:00+00:00,55385.3984375,55433.1015625,55296.05078125,55371.8515625,0
2025-04-21 06:45:00+00:00,55412.69921875,55460.69921875,55368.25,55386.25,0
2025-04-21 07:45:00+00:00,55320.1484375,55432.0,55228.3515625,55412.0,0
2025-04-21 08:45:00+00:00,55288.0,55338.1484375,55244.1484375,55321.3515625,0
2025-04-21 09:45:00+00:00,55295.5,55346.25,55285.1484375,55285.1484375,0
2025-04-22 03:45:00+00:00,55696.5,55704.8984375,55244.0,55447.3515625,0
2025-04-22 04:45:00+00:00,55906.69921875,55960.3984375,55692.6484375,55696.0,0
2025-04-22 05:45:00+00:00,55728.3984375,55916.6015625,55603.80078125,55910.44921875,0
2025-04-22 06:45:00+00:00,55755.1484375,55768.0,55628.0,55721.6484375,0
2025-04-22 07:45:00+00:00,55717.6015625,55818.25,55670.55078125,55758.80078125,0
2025-04-22 08:45:00+00:00,55666.8984375,55766.6484375,55601.55078125,55716.3984375,0
2025-04-22 09:45:00+00:00,55559.19921875,55669.3984375,55529.55078125,55666.25,0
2025-04-23 03:45:00+00:00,55342.8515625,56096.44921875,55339.05078125,56096.44921875,0
2025-04-23 04:45:00+00:00,55224.5,55440.94921875,55162.5,55344.6015625,0
2025-04-23 05:45:00+00:00,55263.30078125,55390.1484375,55215.8515625,55225.19921875,0
2025-04-23 06:45:00+00:00,55306.3984375,55369.3515625,55185.44921875,55263.3515625,0
2025-04-23 07:45:00+00:00,55414.6015625,55443.3984375,55255.1015625,55305.3515625,0
2025-04-23 08:45:00+00:00,55395.3984375,55424.6484375,55343.05078125,55414.3984375,0
2025-04-23 09:45:00+00:00,55318.8984375,55398.8984375,55297.8515625,55395.30078125,0
2025-04-24 03:45:00+00:00,55381.69921875,55548.1015625,55106.94921875,55106.94921875,0
2025-04-24 04:45:00+00:00,55378.8515625,55409.3515625,55330.05078125,55386.1015625,0
