Price,Close,High,Low,Open,Volume,RSI,MACD,SMA_50
2025-04-21 09:45:00+00:00,24121.19921875,24135.650390625,24112.25,24114.55078125,0.0,80.24510616086329,281.20159564523783,23164.609921875
2025-04-22 03:45:00+00:00,24195.69921875,24202.55078125,24073.25,24196.5,0.0,82.02048077619291,278.97314575082055,23203.76390625
2025-04-22 04:45:00+00:00,24230.0,24242.25,24187.349609375,24195.5,0.0,82.7874753702524,276.7842727338175,23240.684921875
2025-04-22 05:45:00+00:00,24202.849609375,24233.5,24166.150390625,24230.30078125,0.0,79.8826279467041,269.74926387879896,23276.0108984375
2025-04-22 06:45:00+00:00,24182.099609375,24203.30078125,24168.25,24201.849609375,0.0,77.64043315735913,259.5081684638535,23308.606875
2025-04-22 07:45:00+00:00,24178.80078125,24197.55078125,24173.599609375,24183.80078125,0.0,77.26910902859453,248.26400578446555,23338.8548828125
2025-04-22 08:45:00+00:00,24161.150390625,24184.69921875,24144.05078125,24179.349609375,0.0,75.19684932652267,235.21724881161572,23370.1098828125
2025-04-22 09:45:00+00:00,24134.05078125,24173.94921875,24126.94921875,24162.30078125,0.0,72.00393052534343,220.15310002164915,23402.222890625
2025-04-23 03:45:00+00:00,24190.650390625,24354.30078125,24189.94921875,24350.150390625,0.0,74.44458476273472,210.3569055634507,23435.0919140625
2025-04-23 04:45:00+00:00,24191.69921875,24242.099609375,24120.150390625,24191.55078125,0.0,74.48896736965749,200.36826194305468,23471.5019140625
2025-04-23 05:45:00+00:00,24222.650390625,24251.80078125,24180.0,24192.30078125,0.0,75.82335892433292,192.72804191205432,23508.46390625
2025-04-23 06:45:00+00:00,24243.30078125,24266.75,24201.900390625,24222.5,0.0,76.69907683427559,186.19310818364465,23544.6869140625
2025-04-23 07:45:00+00:00,24303.44921875,24306.599609375,24230.55078125,24243.5,0.0,79.07638632295276,183.74945303250934,23582.11390625
2025-04-23 08:45:00+00:00,24334.80078125,24340.25,24278.80078125,24303.80078125,0.0,80.20978482838144,182.24187688238817,23620.764921875
2025-04-23 09:45:00+00:00,24300.849609375,24336.900390625,24287.900390625,24334.75,0.0,75.44382988386036,176.27554138007326,23658.7279296875
2025-04-24 03:45:00+00:00,24297.349609375,24347.55078125,24239.69921875,24277.900390625,0.0,74.94941810931451,169.3130216403115,23696.2669140625
2025-04-24 04:45:00+00:00,24279.05078125,24313.099609375,24268.80078125,24297.849609375,0.0,72.28233133137618,160.46882733120583,23725.1939453125
2025-04-24 05:45:00+00:00,24260.30078125,24283.75,24252.900390625,24279.150390625,0.0,69.55123871784664,150.21518418496998,23753.7059765625
2025-04-24 06:45:00+00:00,24257.5,24273.400390625,24248.400390625,24260.30078125,0.0,69.13105418926904,140.24642499136826,23780.698984375
2025-04-24 07:45:00+00:00,24247.099609375,24265.19921875,24242.05078125,24258.75,0.0,67.50027238291132,130.00823292382847,23807.5509765625
2025-04-24 08:45:00+00:00,24250.150390625,24263.150390625,24217.19921875,24247.400390625,0.0,67.74066668339586,120.74864923360656,23836.84296875
